"Republikanska, Pomorie, Bulgaria",42.573189,27.615433,doubt
Saudi Arabia,23.806678,44.700847,success
"Kent, OH, USA",41.149026,-81.360418,success
"London, England, United Kingdom",51.509648,-0.099076,success
"Versailles, France",48.805711,2.143190,success
Null Island,0.000003,0.000010,doubt
"Arica and Parinacota, Chile",-18.508859,-69.514033,doubt
"Better World Books - Goshen, Goshen, IN, USA",41.584461,-85.834670,doubt
"Nairobi, Kenya",-1.283330,36.816670,success
"Saint-Denis, France",48.932182,2.355027,doubt
"Guadalajara, Mexico",20.673618,-103.351266,success
FR-94160 Saint-Mandé,failed,failed,failed
"Nagercoil, India",8.183039,77.414895,success
"New York, NY, USA",40.682950,-73.970800,success
Germany,51.196755,9.627430,success
"4 Rue Val Marie, Montpellier, France",43.618857,3.889105,doubt
Bhutan,27.454772,89.925610,success
"Southern Ute, CO, USA",37.082506,-107.589916,success
"City of Southampton, England, United Kingdom",50.915250,-1.386803,doubt
"Toronto, ON, Canada",43.648770,-79.381710,success
"Zapopan, Mexico",20.701353,-103.431316,success
"Hong Kong, Hong Kong",22.285520,114.157690,doubt
"Kentucky, USA",37.696825,-84.924095,success
"London, Calgary, AB, Canada",50.975043,-114.073676,success
Germany,51.196755,9.627430,doubt
"Scotland, United Kingdom",56.833010,-4.180209,doubt
Italy,44.732552,11.077303,success
"Nottinghamshire, England, United Kingdom",53.146366,-0.984044,doubt
"Raleigh, NC, USA",35.795543,-78.644390,success
Denmark,55.966966,9.018163,success
"Oxfordshire, England, United Kingdom",51.780670,-1.386530,doubt
"Helsinki, Finland",60.207870,24.999350,success
"Toulouse, France",43.603902,1.440694,success
"Espoo, Finland",60.209560,24.651040,success
"Ithaca, NY, USA",42.443386,-76.505499,success
"Barcelona, Spain",41.400347,2.159592,success
"London, England, United Kingdom",51.509648,-0.099076,success
Chile,-38.165295,-72.288079,success
"Oakland, CA, USA",37.785199,-122.197811,success
Italy,44.732552,11.077303,success
"London, England, United Kingdom",51.509648,-0.099076,success
"England, United Kingdom",52.594310,-1.461208,doubt
"Montreal, QC, Canada",45.572744,-73.586295,success
"Grand Rapids, MI, USA",42.966709,-85.661973,success
Germany,51.196755,9.627430,success
"Brasil Del Mar, Mexico",14.622370,-92.316670,success
"Ocuituco, Mexico",18.880556,-98.780163,doubt
"University of Warwick Interchange, Kenilworth, England, United Kingdom",52.379583,-1.562626,doubt
"Fort Worth, TX, USA",32.729442,-97.331810,success
"Syracuse, NY, USA",43.043536,-76.148211,success
"Helsinge, Denmark",56.019708,12.197321,success
Singapore,1.357685,103.809380,success
"Mountain View, CA, USA",37.413921,-122.085078,success
"Tamizhagam, India",13.030109,80.203047,success
Trinidad and Tobago,10.435364,-61.264793,success
"Shropshire, England, United Kingdom",52.578490,-2.774848,doubt
"YouTube, San Bruno, CA, USA",37.628706,-122.425631,doubt
Kenya,0.543716,37.918308,success
France,46.698481,2.549047,doubt
"Cambridge, England, United Kingdom",52.204059,0.135671,success
