Nan, Thailand	18.796087	100.834711	doubt
Las Palmas, Spain	28.115784	-15.439151	success
Villanueva y la Geltrú, Spain	41.219245	1.725607	success
Chile	-38.165295	-72.288079	success
71 Calzada De Los Pirules, Zapopan, Mexico	20.683729	-103.447	success
Nymegen, Netherlands	51.833609	5.847102	success
London, England, United Kingdom	51.509648	-0.099076	success
England, United Kingdom	52.59431	-1.461208	doubt
Nan, Thailand	18.796087	100.834711	doubt
Gentioux-Pigerolles, France	45.804299	2.02241	doubt
Megalopolis, Greece	37.402244	22.136987	success
174 38, Qatar	25.181559	51.446962	success
Worthing, England, United Kingdom	50.82544	-0.403544	success
São Paulo, Brazil	-21.034508	-41.073083	success
France	46.698481	2.549047	success
Null Island	0.000003	0.00001	doubt
Châteauroux-les-Alpes, France	44.613095	6.521092	success
Paris, France	48.859116	2.331839	success
China	32.523743	106.431983	success
www.cartapaname.fr	failed	failed	failed
Philadelphia, PA, USA	39.990821	-75.168428	success
Nan, Thailand	18.796087	100.834711	doubt
Paris-Rabat	failed	failed	failed
Bucharest, Romania	44.435842	26.085733	doubt
Leeds, England, United Kingdom	53.789944	-1.560632	success
Berlin, Germany	52.52045	13.40732	success
Nan, Thailand	18.796087	100.834711	doubt
Mexico	23.920061	-102.289691	success
Dublin, Ireland	53.33928	-6.281314	success
Centre de Danse Dauphine, Orleans, France	47.891627	1.905268	success
Nan, Thailand	18.796087	100.834711	doubt
Nan, Thailand	18.796087	100.834711	doubt
Germany	51.196755	9.62743	success
Frankfurt, Germany	50.041821	8.584764	success
Nan, Thailand	18.796087	100.834711	doubt
Italy	44.732552	11.077303	success
Dehradun, India	30.31667	78.03333	success
Tartumaa, Estonia	58.372941	26.738843	doubt
Ivybridge, England, United Kingdom	50.389709	-3.911358	success
Wales, United Kingdom	52.336717	-3.76532	doubt
Hong Kong, Hong Kong	22.28552	114.15769	doubt
Santiago, Chile	-33.428532	-70.630133	success
Nan, Thailand	18.796087	100.834711	doubt
São Paulo, Brazil	-21.034508	-41.073083	success
Nan, Thailand	18.796087	100.834711	doubt
Luxembourg	49.759178	6.086636	success
