tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count,user_location
1455268050723278853,"Starting late... #30DayMapChallenge Day 01: Points... Settlements in Nigeria...

Data source: @openstreetmap
Tool: @qgis
Location: #Nigeria #gischat https://t.co/8b7fbyr7R9",374459093,2021-11-01 20:18:35+00:00,en,3,2,15,0,Twitter for Android,3_1455268016321667073,https://pbs.twimg.com/media/FDImjO3XIAE0zzM.jpg,photo, ,Jannah_A,zinnie__A,False,224,248,"Kaduna, Nigeria."
1455267331169476611,"Day 1 of #30DayMapChallenge. One point for each electric car ferry in Norway. The green points are ferries in service, yellow are planned for Q4 2021 and red are planned for 2022 or later. https://t.co/VjHOr4TrQc https://t.co/nFVx95rf7w",294330498,2021-11-01 20:15:43+00:00,en,3,1,11,0,Twitter Web App,3_1455261614052102151,https://pbs.twimg.com/media/FDIgukjWUAc4pop.jpg,photo, ,Håvar Skaugen,HSkaugen,False,116,220,Bergen
1455266905124745222,"Scottish place-names ending in Know(e)/s [Scots 'rounded hill, knoll']
2222 in total. Notably thin on the ground in the Rhins and Machars.
Names from @gbhgis
#30DayMapChallenge | Day 1 | Points https://t.co/5OEAlDzMdf",1081900377853829120,2021-11-01 20:14:02+00:00,en,7,5,32,0,Twitter Web App,3_1455266193158311940,https://pbs.twimg.com/media/FDIk5HDWEAQHD50.jpg,photo, ,D&G Place-Names,dgplacenames,False,1152,393, 
1455266897415528451,"#30DayMapChallenge Day1: Points - Beavers have made a successful return to Scotland in recent years. This gif shows records for the species from the years 2006 to 2020. https://t.co/PvjPZIqd7K (Records obtained from @NBNAtlas - citation in image)
 @nature_scot @RewildingB https://t.co/7GYtpJT2dS",230584797,2021-11-01 20:14:00+00:00,en,2,0,7,0,Twitter Web App,16_1455266875466829830,https://pbs.twimg.com/tweet_video_thumb/FDIlg02X0AYf7n3.jpg,animated_gif, ,joe b,PvtJoeker,False,123,385,Bristol
1455266703051563008,"Ma contribution (tardive) au #30daymapchallenge pour le jour #1 : les points. Un #cARTo de la magnifique région du Vestland et ses fjords, ses glaciers 🇳🇴🟠🟢🔵 https://t.co/BKXRs1p2OJ",494171107,2021-11-01 20:13:14+00:00,fr,13,3,139,3,Twitter for Android,3_1455266700224602115,https://pbs.twimg.com/media/FDIlWoBXoAMmMOL.jpg,photo, ,Rémi Guédon,RGuedonHG,False,477,264, 
1455266364374007814,"#30DayMapChallenge day 1: points.
World made of points......

Natural earth coastlines converted and thinned as points. https://t.co/18VeiR9G1v",1318434740593111040,2021-11-01 20:11:53+00:00,en,1,0,12,0,Twitter Web App,3_1455266043404947458,https://pbs.twimg.com/media/FDIkwZLXEAIlvCZ.jpg,photo, ,Ran Tzkhori,RTzkhori,False,1,17,"Tel-aviv,Israel"
1455265922755833856,"#30DayMapChallenge This year I´m going to try do a few maps for the challenge, always about #ukhousing. For this #day1 I have focused on #LandRegistry transactions for detached houses +500K for the #COVID19 period between March 2020/21.Urban sprawl from London to the Countryside https://t.co/jfmoAUioTx",718494860,2021-11-01 20:10:08+00:00,en,0,1,8,0,Twitter Web App,3_1455265249712607240,https://pbs.twimg.com/media/FDIkCMcXEAgUbc9.jpg,photo, ,GeoMariano,Geo_mpm,False,818,1284,"Lower Stondon, England"
1455265712524648452,"First Day of the #30DayMapChallenge. I've seen many beautiful maps today, so here's my humble contribution: Parts of today's german state Schleswig-Holstein have been ruled by Denmark for a long time. You can find many settlements with danish suffixes in the northern part. https://t.co/APDzA3lpmC",1454920710812487680,2021-11-01 20:09:18+00:00,en,0,0,1,0,Twitter Web App,3_1455265602118078466,https://pbs.twimg.com/media/FDIkWtQX0AI6wlG.jpg,photo, ,nordaufnordost,nordaufnordost,False,2,0, 
1455264772237168648,"#30DayMapChallenge Day 1 - Points
My goal for participating in this challenge is to get more comfortable mapping in Python's #matplotlib. For today, I decided to work with a familiar dataset from @ISCseism and @GEMwrld on global earthquakes.
https://t.co/kJcaRm19mN https://t.co/32dlVNzL7S",1192117144214896640,2021-11-01 20:05:33+00:00,en,9,0,25,0,Twitter Web App,3_1455263834306924561,https://pbs.twimg.com/media/FDIivzpWUBEKfAs.jpg,photo, ,Nicole Paul,nicopurr,False,183,427,"Oakland, CA"
1455263217916252167,"#30DayMapChallenge day 1: Points
Locations of today's challenge participants (not all)
World map from Nasa
OSM GeoCoder (FME)
Points and map made with FME https://t.co/wCHdj1Sccd",539857982,2021-11-01 19:59:23+00:00,en,1,1,6,0,FME Workbench,3_1455263211859714052,https://pbs.twimg.com/media/FDIiLk2XoAQ0qrZ.png,photo, ,Sami Tuomaala,Sami_Tuomaala,False,177,723,Espoo
