,tweet_id,tweet_text,language,tweet_created_at,retweet_count,favorite_count,hashtags,user_id,user_name,user_screen_name,user_loc,user_follower,friends_count,media,tweet_url
610,1323413807159541760,STATS19 Fatal Accidents 2019 https://t.co/kEfmsjwEGK #30DayMapChallenge Day 1 - Points https://t.co/8QgB5IW8QX,en,2020-11-02 23:56:54,1,1,"[{'text': '30DayMapChallenge', 'indices': [53, 71]}]",1318518242080661504,Christoph Er,dataisawesomeo,,2,77,http://pbs.twimg.com/media/El21ZjFXIAI4_jl.jpg,https://t.co/kEfmsjwEGK
621,1323401378916696064,"Better late than never for my first ever  #30DayMapChallenge submission. Day 1: points! Yellow dots are places in Amsterdam with Indonesian elements in its name e.g. Bandoeng, Soerabaja, Djakarta.. It's clustered in the so-called Indische Buurt (Indies Neighborhood), ofcourse. https://t.co/MgLWRozmoc",en,2020-11-02 23:07:30,1,11,"[{'text': '30DayMapChallenge', 'indices': [42, 60]}]",50888509,🌏🌍🌎,tom5ive,🇮🇩🇳🇱,572,668,http://pbs.twimg.com/media/El2qO9NW0AAn9dJ.png,https://t.co/MgLWRozmoc
682,1323360442111135744,"#30DayMapChallenge Day 1 - Points

Lighthouses in Asturias and their range (Data: https://t.co/khysneCwjM) 

Inspired by @John_M_Nelson https://t.co/uHEWdogvxT https://t.co/0Me609MyoV",en,2020-11-02 20:24:50,5,35,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",62926974,Tomasral,tomasral,Asturies,77,420,http://pbs.twimg.com/media/El2FR9gXUAAU3Uf.jpg,https://t.co/khysneCwjM)
700,1323354886885404673,#30DayMapChallenge a very late Day 1: Points of the volcanic eruptions in the Holocene Period (past 10 000 years) https://t.co/lWSTUAI2e0,en,2020-11-02 20:02:46,1,4,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",1216647489576734721,Azile Mdleleni,GeotoZee,,25,76,http://pbs.twimg.com/media/El2ALQZWoAAAgMd.jpg,https://t.co/lWSTUAI2e0
714,1323350715411156997,"Missed the start of #30daymapchallenge 
Here, maps for day 1 and 2 with points and lines. #Airbnb listings by real estate agents in #Tbilisi (work in progress) and pre-#covid flight connections from #Georgia 
An extensive analysis of airbnb data soon on @vizaxis https://t.co/RcqgeHJW0J",en,2020-11-02 19:46:11,1,1,"[{'text': '30daymapchallenge', 'indices': [20, 38]}, {'text': 'Airbnb', 'indices': [90, 97]}, {'text': 'Tbilisi', 'indices': [132, 140]}, {'text': 'covid', 'indices': [168, 174]}, {'text': 'Georgia', 'indices': [199, 207]}]",572256579,Giorgi Kankia,gkankia,"Stockholm, SE",80,164,http://pbs.twimg.com/media/El18JmjXgAMPIyb.jpg,https://t.co/RcqgeHJW0J
736,1323338910588686342,"One day late but joining the #30DayMapChallenge fun. 

Day 1: Points

Accidents on pedestrian crossings leading to leathalities at downtown Helsinki, 2018.

Data from @Tilastokeskus visualization on #QGIS https://t.co/MRIaWEVAN4",en,2020-11-02 18:59:17,2,8,"[{'text': '30DayMapChallenge', 'indices': [29, 47]}, {'text': 'QGIS', 'indices': [199, 204]}]",2335208993,Oula,PolarBoe,"Helsinki, Finland",32,171,http://pbs.twimg.com/media/El1wnz4WoAEikfg.jpg,https://t.co/MRIaWEVAN4
737,1323337947937230855,"#30DayMapChallenge 
Day 1: Points

Happy to share a map that shows the local communities living in proximity to one of Malawi's renowned park, which is home to the Big Five. https://t.co/hIf05hnzTB",en,2020-11-02 18:55:27,1,4,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",1298356315018993666,Clinty,clintyMw,"Old Naisi,  Zomba",85,100,http://pbs.twimg.com/media/El1w2VGXYAIIl9q.jpg,https://t.co/hIf05hnzTB
742,1323336955812302851,Day 1 of the #30DayMapChallenge (points). I made a map of the above ground level elevation of radio towers in the United States. These are cell and amateur towers. Data munged and plotted with @geopandas and @matplotlib #DataAnalytics #geospatial https://t.co/dR68mE4zhD,en,2020-11-02 18:51:31,4,14,"[{'text': '30DayMapChallenge', 'indices': [13, 31]}, {'text': 'DataAnalytics', 'indices': [220, 234]}, {'text': 'geospatial', 'indices': [235, 246]}]",2719547953,Jesse Pisel,geologyjesse,,594,470,http://pbs.twimg.com/media/El1vroKWoAEozEk.jpg,https://t.co/dR68mE4zhD
793,1323309364153847812,"#30DayMapChallenge
Day 1: Points

Non-intuitive distribution of UK Postcodes

This map illustrates that while postcodes within the same 'Outward Code' are located near to each other, postcodes with adjacent 'Units' may be some distance from each other. https://t.co/cAC1I7jQVz",en,2020-11-02 17:01:52,2,5,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",12620762,Mike Coats,MikeCoatsDotCom,"Inverness, Scotland",288,1164,http://pbs.twimg.com/media/El1W2QBWkAAnMkF.jpg,https://t.co/cAC1I7jQVz
807,1323301191271419905,#30DayMapChallenge Day 1 Points https://t.co/0gx9c3YY7O,en,2020-11-02 16:29:24,1,2,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",2678363167,Adaeze Agu,adaezehs,"Edmonton, Alberta",5,60,http://pbs.twimg.com/media/El1PaxiVoAEBgDW.jpg,https://t.co/0gx9c3YY7O
