tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count
1460174732628836355,"The #CerroTorre Lagoon with the shadow of a mountain range. On the right edge lies ""El Chaltén"" a village within Los Glaciares #nationalpark in #Argentina’s Santa Cruz province. #Sentinel2 #EOchat 
@sentinel_hub for #30DayMapChallenge https://t.co/6cmCtWOvkl",1585404372,2021-11-15 09:15:59+00:00,en,5,0,20,0,Twitter Web App,3_1460174220382638083,https://pbs.twimg.com/media/FEOUt5QXEAMIQ8Y.jpg,photo, ,Philipp Gärtner,Mixed_Pixels,False,1983,1036
1460174199041966083,"A bit late for Map 1 (points) but here is mine: Geocoding #30DayMapChallenge  participants with {ggmap} and {rtweet} (both new for me 😁)

#RStats #rspatial https://t.co/EaHVjScEMj",836653702182207492,2021-11-15 09:13:52+00:00,en,4,1,11,0,Twitter for iPhone,3_1460174193660678146,https://pbs.twimg.com/media/FEOUsVtWUAIbfVd.jpg,photo, ,Javier Elío,Elio_Javi,False,234,388
1460171258172088325,"#30DayMapChallenge 2021 Day 15: Maps Without Computer. A chipped white building block creates a nice contrast with cut tree barks, in a way, it portrays the state of Indonesia's forest.

#Deforestation #ThanksTo #Oligarchs https://t.co/f83uvm0YGT",950010366779564043,2021-11-15 09:02:11+00:00,en,6,1,8,1,Twitter Web App,3_1460170985122922499,https://pbs.twimg.com/media/FEORxk-VgAMdWZ5.jpg,photo, ,alv irl,alv_irl,False,219,467
1460170781711814658,"#30DayMapChallenge day 15: without a computer. Back to before Illustrator and QGIS, when I made maps with tracing paper, drawing skills of a toddler and awful handwriting! More at https://t.co/LDsU8x9HST https://t.co/HvLxud7L74",840682774403133441,2021-11-15 09:00:17+00:00,en,2,0,8,0,Twitter for iPhone,3_1460170777039355909,https://pbs.twimg.com/media/FEORldzWQAUhQIz.jpg,photo, ,HistoCarte,HistoCarte,False,76,66
1460170237597396994,#30DayMapChallenge day#14 - using a new tool - Precipitation map of Florida made on QGIS using a thiessen polygon tool and intersection tool #everydayisaschoolday #QGIS #rainfall #Florida https://t.co/fHZmLjTRH5,179094335,2021-11-15 08:58:07+00:00,en,0,0,4,0,Twitter for Android,3_1460170235592511488,https://pbs.twimg.com/media/FEORF8wXEAA4AA-.jpg,photo, ,sarah☻,sarah_wilson7,False,143,346
1460168609054052356,"Day 15- #30DayMapChallenge 
Theme: Map made without using a computer.

A fun jigsaw of all counties across the UK and Ireland I pieced together as quickly as possible. The jigsaw pieces were county-shaped. https://t.co/SnjZnFqL2R",2149588681,2021-11-15 08:51:39+00:00,en,1,0,5,0,Twitter for Android,3_1460168606214467588,https://pbs.twimg.com/media/FEOPnG2XMAQPmRi.jpg,photo, ,Claire Powell,Pow__C,False,110,229
1460168428325588992,"Day 15- #30DayMapChallenge 
Theme: Map made without using a computer.

A fun jigsaw of all counties across the UK and Ireland I pieced together as quickly as possible. The jigsaw pieces were county-shaped. https://t.co/Us1eJ8PqKo",2149588681,2021-11-15 08:50:56+00:00,en,0,1,1,0,Twitter for Android,3_1460168425238675456,https://pbs.twimg.com/media/FEOPckqXwAAgo9S.jpg,photo, ,Claire Powell,Pow__C,False,110,229
1460167482338066440,"#30DayMapChallenge Map without a computer? A scalpel, an onion and... a hen (well, an egg). https://t.co/hDzPs9cktK",1293985495781974016,2021-11-15 08:47:11+00:00,en,2,0,42,0,Twitter Web App,3_1460167442286751747,https://pbs.twimg.com/media/FEOOjW4XsAMGDzP.jpg,photo, ,Kamil Nieścioruk 🇵🇱🌐💾🚴🏃🏸,mapdoktor,False,18,16
1460161010665467908,"We are almost half-way through! Help make these feature land in #QGIS 3.24 by contributing to our crowdfunding campaign to improve tools for handling #LIDAR and elevation data: #30DayMapChallenge 
https://t.co/FxjntJixKN https://t.co/wtkPQl4Y5J",453028244,2021-11-15 08:21:28+00:00,en,7,0,33,1,Twitter Web App,3_1460160919976267779,https://pbs.twimg.com/media/FEOIntYX0AMa66I.jpg,photo, ,Lutra Consulting,lutraconsulting,False,4185,628
1460158621883543552,Rhône river estuary after July's heavy rains. For @sentinel_hub #30DayMapChallenge https://t.co/Kd7zmZeHUm,118147850,2021-11-15 08:11:58+00:00,und,3,1,11,0,Twitter Web App,3_1460158198669889539,https://pbs.twimg.com/media/FEOGJTuX0AMYZyu.jpg,photo, ,Rafa Cereceda,Rafacereceda,True,2916,2517
